Gene_Name,Pseudogene_ID
BRCAX2ML,ENSSG261052244
TP6AQA1,ENSSG767340967
AKTRBQ2,ENSSG388390328
LINCUUP1,ENSSG056171328
LINC83BC,ENSSG817786834
HBBTPC,ENSSG638382693
HLAY6P2,ENSSG800822059
HLA76B,ENSSG131733395
TPR6T1,ENSSG185355047
STAT0S2,ENSSG956459634
JAKHBA1,ENSSG271171207
HLA661,ENSSG435549974
EGFRP51,ENSSG989121221
GATATC1C,ENSSG556503160
FGFRHOU3,ENSSG865677337
BRCAKJ2,ENSSG305883955
GATAQPC,ENSSG931233785
HBBA63,ENSSG104410162
EGFRHUB,ENSSG089835141
BRCAJNL,ENSSG554932327
STAT1I1,ENSSG325218178
BRCAJ2B,ENSSG312514094
LINCTV3,ENSSG836167246
MAPKW21,ENSSG675633350
CDKFO3,ENSSG803612068
JAKP70P1,ENSSG860914288
HLAG7VP1,ENSSG399761829
AKTZH1,ENSSG048453867
STATPMP2,ENSSG340705417
CDKHP2,ENSSG422561618
HBBZTB,ENSSG534991690
TPEY2,ENSSG053603340
MAPK38C,ENSSG489978445
EGFRLDA2,ENSSG964049850
BRCAJDYA1,ENSSG452801317
FGFRR0UP1,ENSSG191482028
AKTF6FL,ENSSG703345989
TPR761,ENSSG657621031
GATA1FP2,ENSSG466842684
JAK873,ENSSG564760604
SOXQUG2,ENSSG913609414
MAPKJ4L,ENSSG687858876
STATLW3,ENSSG186995695
LINCD92,ENSSG345408046
MAPKBAOB,ENSSG241929714
JAKX81,ENSSG525180796
BRCAEU1,ENSSG702331414
EGFRZJP2,ENSSG048683903
LINC5I2,ENSSG316107316
SOX5FBC,ENSSG145510189
LINC59QP2,ENSSG534162106
AKTKS1C,ENSSG952763676
STATZXVB,ENSSG125102241
SOXV0C,ENSSG687908412
LINCQ31,ENSSG797482002
HBB4QKP1,ENSSG097490108
LINCAZL,ENSSG224973808
EGFRJ31,ENSSG053320301
LINCEVP2,ENSSG692184433
EGFRTR2,ENSSG829248592
MAPKXDC,ENSSG623766275
MAPKAB7P1,ENSSG736243269
HLAOAWA1,ENSSG179966480
MAPKQCR2,ENSSG796151883
LINC9Y2,ENSSG821220586
HBB22DC,ENSSG755482842
HLAKAA1,ENSSG788665183
TPH3P1,ENSSG238809437
AKTI8XC,ENSSG325248683
LINC8USB,ENSSG820982225
HBBDXNA1,ENSSG115831661
BRCAS6QB,ENSSG143558840
MAPKUH8A1,ENSSG716242645
MYCCMA1,ENSSG657036488
BRCAX4CP2,ENSSG761693829
HLAWE2,ENSSG264099158
HLA5A83,ENSSG376618865
FGFRF91,ENSSG850212894
STAT0B5L,ENSSG708893789
JAKIHP2,ENSSG638705894
GATABC6P2,ENSSG145406428
EGFRW7VP1,ENSSG372451355
CDKQTC3,ENSSG174334582
SOXH0P2,ENSSG304980980
LINC2Z2,ENSSG216776778
STATT742,ENSSG970140333
AKTLGA1,ENSSG955463921
STATY0C,ENSSG940681214
MYCZOC,ENSSG914660912
HLAB7NP2,ENSSG870435474
LINCI3A1,ENSSG073895923
TPKMP2,ENSSG349718160
MYCIAA1,ENSSG009734483
HLAB73,ENSSG611648933
GATA6CY3,ENSSG936646978
MAPKQZ3,ENSSG071577701
MAPKD223,ENSSG941186676
GATAGK71,ENSSG912651012
BRCAAXYB,ENSSG020040660
TP6IIP1,ENSSG988101940
SOXPJFP1,ENSSG704960234
AKTNK93,ENSSG088810514
TPM5UB,ENSSG811794001
STATDWUL,ENSSG853262785
AKTBZDP2,ENSSG239635869
AKT7WA2,ENSSG979401071
JAK18Z2,ENSSG833324343
LINCMG9A1,ENSSG721621727
AKTY962,ENSSG400379342
HBBH4A1,ENSSG987225640
CDK5TC,ENSSG580539938
TPMC5B,ENSSG926688780
GATAKHP2,ENSSG723699241
FGFRW0L,ENSSG313287981
STATSO1,ENSSG808488375
MYC009C,ENSSG581226407
GATAMCL,ENSSG433105283
STATFI2,ENSSG133073361
TPE2P1,ENSSG556161108
SOX2A1,ENSSG846962137
FGFR9IU1,ENSSG071971625
TPY7C,ENSSG654882610
GATA6XLP2,ENSSG932329833
FGFR9V3A1,ENSSG638885982
HLAX91,ENSSG191694313
MYCEGYL,ENSSG955754623
TPM92,ENSSG585374478
HLAA4EA1,ENSSG377231455
GATAWBX2,ENSSG131949189
TPAWV3,ENSSG058298119
LINCC1P1,ENSSG123255419
SOXS4A1,ENSSG367818660
GATAVLA1,ENSSG997239312
TP8DC,ENSSG424779240
BRCAYJL,ENSSG626796480
HLA7KSC,ENSSG556619451
JAK3W0B,ENSSG854770652
STATEWC,ENSSG010251597
MAPKZ83,ENSSG220268724
HLAJ192,ENSSG008963324
BRCAJVQ1,ENSSG725320766
HBBEL2P2,ENSSG798921337
EGFRI41P2,ENSSG764050150
SOX3DD2,ENSSG585086465
TPYNB,ENSSG777510516
HLA37U3,ENSSG916057318
HBBWMB,ENSSG514620944
AKTHK1,ENSSG650061883
FGFRALP2,ENSSG273222041
GATAJB2,ENSSG631770491
TPVD1,ENSSG816110081
MYC7ZP1,ENSSG285586283
BRCAAQ1,ENSSG928209224
EGFR1YC,ENSSG862236382
EGFR69FL,ENSSG698431422
STATM461,ENSSG965286736
FGFRRXY2,ENSSG876477380
CDK7I0A1,ENSSG804594346
LINC7DD2,ENSSG168637978
MYCFB2,ENSSG508808015
GATA8KL,ENSSG665770833
MYC9T1L,ENSSG891518252
BRCA5B1,ENSSG427327602
STATVCOC,ENSSG230981617
HBB2TP2,ENSSG257468496
STATKHA1,ENSSG793770658
HLA716C,ENSSG973126826
EGFRICP1,ENSSG902158278
STATKQB,ENSSG788280390
LINCCBFC,ENSSG139795335
HLAWNHB,ENSSG043798911
CDKHCB,ENSSG757026648
SOXVZA1,ENSSG102677154
TPVN0L,ENSSG190358828
MAPKOQP2,ENSSG577228923
LINCS3EP2,ENSSG682019360
MAPK9ZCB,ENSSG316665427
SOXFWP1,ENSSG614126910
MAPKOIQ2,ENSSG546316124
JAKI7L,ENSSG393181884
STATUUC,ENSSG748579644
JAK1RB,ENSSG652895661
BRCAVK83,ENSSG119964910
MYC1JB,ENSSG310937065
HLAM113,ENSSG028624898
BRCAMAL,ENSSG245068557
CDK9I1,ENSSG104746515
EGFR742,ENSSG201763735
JAKM9XL,ENSSG995544722
GATAYY3,ENSSG943775879
STAT10OC,ENSSG322670129
GATAL23,ENSSG901844687
FGFRDI2,ENSSG509237687
BRCA6RBP2,ENSSG437892983
HBBCOP1,ENSSG975500328
HLAQ9RP1,ENSSG179996762
SOXBDCL,ENSSG226076670
GATAP1P1,ENSSG123241666
SOXYG2,ENSSG706189760
HLAYD5C,ENSSG002688435
AKTOXGA1,ENSSG869027490
JAKF83,ENSSG735700684
HBBCQHP2,ENSSG809772229
GATAME02,ENSSG238610990
CDKBU2,ENSSG273134616
JAKA2P1,ENSSG280733085
GATAUKC,ENSSG443582400
MAPKY8P1,ENSSG982187298
CDKOEU3,ENSSG942574438
TPEVMB,ENSSG810680871
HBBC6UB,ENSSG243038619
JAKOT5L,ENSSG484338444
MYCA91B,ENSSG439128052
TP903,ENSSG042952849
BRCA85B,ENSSG859159944
MYC4B1,ENSSG374832919
MAPK4UL,ENSSG816061407
STAT21A1,ENSSG595423339
TP00P2,ENSSG395070768
JAK29A1,ENSSG730594700
TPSIP2,ENSSG072864614
GATA6KFA1,ENSSG056231723
MAPKZYMC,ENSSG311448517
LINCKHH3,ENSSG980833871
LINCYF3,ENSSG146104664
EGFRLN3,ENSSG935239371
SOXH6B,ENSSG842375346
BRCARJ2,ENSSG650003494
LINC3JA1,ENSSG118556429
CDKHSL,ENSSG203953846
BRCAGFGP1,ENSSG151677722
LINC13C,ENSSG899448948
SOXCTR2,ENSSG970994756
SOXBXA1,ENSSG420689487
LINCM67A1,ENSSG493883855
MYCHFKP2,ENSSG725970562
HBBYKU3,ENSSG484956620
MAPKWVHA1,ENSSG607446271
BRCAAJHP1,ENSSG534894787
LINCMKAL,ENSSG558724574
AKTDB22,ENSSG677513572
GATA6YS2,ENSSG420009762
STAT2GC,ENSSG590504414
JAK59R3,ENSSG393676151
STAT7B1,ENSSG130204915
HLAN71,ENSSG533928611
JAKS4B,ENSSG498684872
SOXOJC,ENSSG440575458
BRCA3UL,ENSSG946073233
HBBXFE3,ENSSG655166844
LINC295P2,ENSSG953702572
MYCXPNL,ENSSG722556529
HBBR8G1,ENSSG982388803
BRCA01P1,ENSSG690739865
GATA1VBP2,ENSSG889473243
STATCO3,ENSSG772375073
BRCAA06L,ENSSG182553765
AKTKB2,ENSSG403095818
TPD0G1,ENSSG443488151
JAKA3E3,ENSSG496516620
JAKBNO2,ENSSG772695137
STATRKP2,ENSSG382390255
CDKH2TB,ENSSG762265391
MYCSVB2,ENSSG225889151
AKTRK3A1,ENSSG181347261
MAPKQPV1,ENSSG412787228
TPF52,ENSSG730954200
CDK1DP1,ENSSG304118136
GATAHVL,ENSSG317876231
TP4YF3,ENSSG194090510
LINCMQ1,ENSSG618971863
EGFRYB1,ENSSG118964906
EGFR4KB3,ENSSG021118604
AKTACP2,ENSSG196798458
AKT4T9P1,ENSSG963619024
CDKSA1A1,ENSSG437655536
STATBIDB,ENSSG013631129
LINCPAP1,ENSSG139054806
BRCAORHP2,ENSSG949046637
EGFRJ1P1,ENSSG673444103
HLAS2P1,ENSSG734806227
MYC531A1,ENSSG703486889
STATBSUL,ENSSG031332953
BRCAMQP2,ENSSG513830159
EGFRG803,ENSSG920739555
TPFEF2,ENSSG726694581
STATHFB,ENSSG018670064
BRCAYZZC,ENSSG423401709
HLAH61,ENSSG567233996
CDKSAA2,ENSSG095300761
STATUUB,ENSSG617640601
TPQ6Z1,ENSSG062362744
LINC072C,ENSSG187693576
SOXIDWP2,ENSSG739058157
TPGNXC,ENSSG596765672
CDK3OL1,ENSSG489470513
LINCH4A1,ENSSG701129932
JAK6WA1,ENSSG160783796
FGFRMERP1,ENSSG860358315
TP7CP1,ENSSG222512632
STATSNB,ENSSG705602889
EGFRW53,ENSSG287166739
GATAI292,ENSSG625177344
AKTQT2A1,ENSSG238121582
SOXRBKL,ENSSG801424652
MYCF92,ENSSG799939984
AKTHZJ3,ENSSG646905323
GATA2D2,ENSSG907413450
LINC1PB,ENSSG490154598
HLAWM3,ENSSG306394656
SOXC01,ENSSG688962648
LINC0W3C,ENSSG991092326
CDK4KB,ENSSG094834430
EGFR2ZP1,ENSSG824371087
BRCAWUC,ENSSG099054727
EGFRFKL,ENSSG714249958
BRCAIW3,ENSSG539063489
LINC9JL,ENSSG293654644
STATTG1,ENSSG541288919
BRCAJPP1,ENSSG477569121
MYCH13,ENSSG265514667
LINC10L,ENSSG578895997
SOXMX1,ENSSG727458927
FGFRQK23,ENSSG687111638
STAT22B,ENSSG973982811
AKT8QSP2,ENSSG460616924
BRCAP2BA1,ENSSG052704925
HLAQXNC,ENSSG485498349
BRCAIZ2,ENSSG577261654
FGFR7TL2,ENSSG546061967
MYCYJDP2,ENSSG835663762
HLACT3,ENSSG027521404
TPUMC,ENSSG753845640
LINCL5AB,ENSSG166728257
SOXN2EL,ENSSG070630782
JAK7I3,ENSSG313011265
STATFLP1,ENSSG467413998
BRCAUFP2,ENSSG624447744
MYC1JA1,ENSSG586877328
AKTLG2,ENSSG733787548
SOX0D1,ENSSG624932808
MAPKGN1,ENSSG014973078
EGFRDPG1,ENSSG174120210
LINCJVT2,ENSSG344676319
SOXH7D2,ENSSG065293598
BRCAMC23,ENSSG310903946
BRCAFNL,ENSSG208401692
LINCY8H1,ENSSG819910988
HLA04C,ENSSG669551988
MYCPJMC,ENSSG214729204
MAPK38B,ENSSG599889606
STATKY43,ENSSG951801765
MAPKT24A1,ENSSG979297210
JAKCZP1,ENSSG383242528
HLA6JA1,ENSSG230508183
JAKIVP1,ENSSG528859503
HBBK2A1,ENSSG231931473
GATA3L2,ENSSG142691557
STAT6TP1,ENSSG847542319
HBBS073,ENSSG179469779
GATA673A1,ENSSG079837768
CDKAF3,ENSSG895353925
GATAQ1L,ENSSG851075062
EGFR30BA1,ENSSG629270218
LINCZTL,ENSSG183915930
STATUAVA1,ENSSG843651324
EGFR8LP2,ENSSG860582757
BRCA5OF1,ENSSG110013822
JAKZFP2,ENSSG022710900
HLARN33,ENSSG514470090
TP8MGB,ENSSG151722076
FGFRE1E3,ENSSG462220934
CDK74A1,ENSSG152045959
HBBQCMP2,ENSSG389949362
CDKW0C,ENSSG478466195
EGFR8AC,ENSSG486163220
SOXWPP1,ENSSG686032262
JAKY01,ENSSG808431054
SOXI7Q2,ENSSG474409776
SOXPLPC,ENSSG668471107
BRCALWK3,ENSSG536795564
HBB7X3,ENSSG937786441
JAKWPP2,ENSSG712940642
LINCMRQL,ENSSG292069747
LINCJ3H2,ENSSG886042237
CDKU43L,ENSSG446792225
LINCIHL,ENSSG519209193
JAKLSC,ENSSG915646618
FGFRVV6C,ENSSG674202762
GATAO1ZP2,ENSSG538759149
STATH3P2,ENSSG247326116
GATAWVA1,ENSSG651883886
LINCZJG2,ENSSG621751634
MAPKE9QB,ENSSG210665458
HBBPYP2,ENSSG791735029
AKTI7A1,ENSSG713640701
FGFRQK3,ENSSG091937137
FGFRWXA1,ENSSG151101489
AKT8JB1,ENSSG550504088
HLAAGA1,ENSSG301907187
JAKIDKP1,ENSSG406773786
SOXN7P1,ENSSG052715765
BRCA60WP2,ENSSG548051715
CDKHB2,ENSSG308855248
HLAC3P1,ENSSG002669355
FGFRSXAC,ENSSG190610784
STATU8I2,ENSSG487015506
AKT1CP3,ENSSG806952258
GATA81B,ENSSG061266403
MAPKZTMC,ENSSG412750340
HBB64C,ENSSG792028884
HBBRQ2,ENSSG902953559
EGFRITJP1,ENSSG766409702
TPOAP1,ENSSG185977667
STATCOYA1,ENSSG182439084
MAPKR13,ENSSG805574494
CDK2DVA1,ENSSG913023051
CDKGS3,ENSSG463228292
SOXL4F3,ENSSG354907753
HBBHMP1,ENSSG420195311
STAT2KC,ENSSG158020913
BRCAG58P2,ENSSG789907423
MYCF43,ENSSG871125259
LINCSXHP1,ENSSG706359868
CDK4WZP1,ENSSG888229995
GATAUN3P2,ENSSG880721335
CDKEH6A1,ENSSG724916419
AKTKD2,ENSSG251586458
MYCKK2,ENSSG381349013
AKTS61,ENSSG989597665
AKTEYMB,ENSSG122388356
HLAVHL,ENSSG009565353
CDKAQNA1,ENSSG077764392
MYCTP8B,ENSSG500629365
AKT64D2,ENSSG936869430
BRCAQFC,ENSSG150795701
EGFR1BP2,ENSSG556597332
EGFR8D3,ENSSG512312282
BRCAQ1PA1,ENSSG426909214
EGFRA12,ENSSG802118109
MYCTSQB,ENSSG515158604
FGFR3KB,ENSSG161954750
JAK9IP1,ENSSG648542450
MAPKG6A1,ENSSG383358008
LINCZY1,ENSSG514678584
LINC6NWB,ENSSG084212746
GATANAYP1,ENSSG464703049
MYCJ73,ENSSG080953601
TP7KT3,ENSSG538503087
GATA5UV2,ENSSG138566376
FGFR3A2,ENSSG453802338
SOXOKBP1,ENSSG110698019
SOXGN1P2,ENSSG980034123
JAKLNMC,ENSSG339835502
FGFR05A1,ENSSG374662701
HLAWTP1,ENSSG373253315
STATX7P1,ENSSG286509692
SOXTG3,ENSSG821499039
CDKFEB,ENSSG042387281
HLASRT1,ENSSG065608920
BRCACIB1,ENSSG736167178
JAKJ2P1,ENSSG072737524
MAPKF5C,ENSSG792929013
JAKATXA1,ENSSG100362480
TP1CP1,ENSSG764606615
SOXU6SP1,ENSSG232695756
HLAT46B,ENSSG188648245
MYC1KI1,ENSSG460274813
CDKGT72,ENSSG443085430
CDKGIDC,ENSSG897374234
GATA572,ENSSG561010307
LINC0VP2,ENSSG604055533
FGFR6VB,ENSSG838164032
SOXOY3,ENSSG679493890
MAPK09WL,ENSSG499774544
HBBR0E1,ENSSG774664637
HLA5XP2,ENSSG273577855
CDKWLH3,ENSSG120261722
EGFRRWC,ENSSG754584831
CDKWGA1,ENSSG834169215
TPLYL,ENSSG261957646
AKTI0SA1,ENSSG113803423
EGFRJUC,ENSSG933867954
JAKBVC,ENSSG505220062
STATI65P1,ENSSG412423284
HBB4KL,ENSSG317554647
SOX72B,ENSSG437588023
CDKWG6L,ENSSG605906437
SOX3JD3,ENSSG839109922
BRCA5LCL,ENSSG444544553
GATA6Q8A1,ENSSG812856894
LINC5ZA1,ENSSG761315352
EGFRKC3P2,ENSSG591135812
HBBA8C,ENSSG896286656
JAKQEB,ENSSG461273238
HLAU38A1,ENSSG246055530
MAPKJHAL,ENSSG423614935
MAPKU2P1,ENSSG139670301
LINC4EA1,ENSSG342660822
HBB03P1,ENSSG400886667
AKTLXB,ENSSG122554711
AKTVFL,ENSSG914899849
MAPKCWA1,ENSSG380552348
TPJC1,ENSSG877533421
BRCAV4A1,ENSSG237421505
FGFROMS1,ENSSG430819632
TPI9A1,ENSSG884332864
MYC58AB,ENSSG525461987
EGFRIZB,ENSSG219610770
LINCYJQP2,ENSSG737957419
FGFR8P3,ENSSG618066542
JAKCPZL,ENSSG295279717
BRCA1FS1,ENSSG901502583
LINCUX1,ENSSG565186270
SOXDHRP2,ENSSG687511445
HBBW21,ENSSG116515649
MYCQGCA1,ENSSG950938936
MAPK5HCL,ENSSG935746107
MAPK87L,ENSSG163352307
MYC3C83,ENSSG237325018
TPTGB,ENSSG259753965
AKTENYC,ENSSG718045444
EGFRJJL,ENSSG016370012
HLAV03,ENSSG183803604
TP26L3,ENSSG797526346
HBBQ53,ENSSG575334842
FGFRK11P1,ENSSG282951269
JAKRT3,ENSSG692940975
HBBTSP1,ENSSG388809222
BRCAGYL,ENSSG933303909
JAKCB3,ENSSG591977240
HBBSFL,ENSSG422992409
STATNZ3,ENSSG926328106
GATA1B1B,ENSSG092901254
MAPKD5C,ENSSG568302774
GATABGNA1,ENSSG177377900
LINC66JB,ENSSG226624800
HBBOTF3,ENSSG541717034
BRCAI5IP1,ENSSG108895020
HBBM65L,ENSSG789305405
STATM4B1,ENSSG297763570
EGFRZBTC,ENSSG843179820
GATA7XA1,ENSSG439626501
FGFR4BOP1,ENSSG451122815
HBB05C,ENSSG092655751
MYCGZC,ENSSG142444043
STATNA3,ENSSG061072828
BRCA6Z03,ENSSG487230784
HBBKFSP1,ENSSG339385672
GATA3XCP2,ENSSG915906273
HBB9ML,ENSSG950772098
HLAOQFB,ENSSG392807795
JAK1EP2,ENSSG898428179
GATARC2,ENSSG242797067
LINCY9D3,ENSSG810921780
STATMAP2,ENSSG382805032
SOX572,ENSSG726009858
HLA9TEP2,ENSSG059183989
HLAHAP2,ENSSG555086662
STAT9HL,ENSSG245320155
SOXOD3,ENSSG733370762
TPN93,ENSSG459222641
MAPKWBZ1,ENSSG325359108
MAPK18B,ENSSG200040933
BRCAR613,ENSSG218373755
SOXYBL3,ENSSG843846972
CDKKE3,ENSSG095072701
TPIW62,ENSSG649489480
BRCACPP1,ENSSG018560727
CDKTIP2,ENSSG351635459
BRCAJ041,ENSSG977060396
EGFRHHC,ENSSG080115813
EGFR4ATL,ENSSG320098119
AKTQ82,ENSSG711134399
CDKQLP1,ENSSG144635331
BRCA2MYP1,ENSSG841323162
LINCHNFC,ENSSG285648694
AKT9OP1,ENSSG793165723
TP02L,ENSSG811518595
TPD3L,ENSSG493082400
AKTQGB,ENSSG274307104
AKTT4L,ENSSG476482145
HBBB1X1,ENSSG626299412
STATF99P1,ENSSG257396961
JAKF40P2,ENSSG432955200
SOXHPCL,ENSSG677125087
AKTE1E2,ENSSG730684491
MAPKITOC,ENSSG638443153
SOXYU1C,ENSSG243139029
EGFRFWTC,ENSSG701848542
STAT90O2,ENSSG265318076
SOXXZXP2,ENSSG106221036
MYC84P2,ENSSG387844383
HBBPQC,ENSSG176189243
TPO8L,ENSSG840341703
MAPKBBMA1,ENSSG357697916
CDK9VWL,ENSSG227560597
SOXHC1,ENSSG292787584
FGFRTH1,ENSSG377211521
FGFR34CP1,ENSSG984732142
LINCXYL,ENSSG662243992
JAKBFO2,ENSSG043297738
TPVHB,ENSSG311439643
MAPKDFHB,ENSSG818601452
FGFRXCZB,ENSSG966454361
AKTBMC,ENSSG872100361
BRCAFNU3,ENSSG496539929
HBBL02,ENSSG247475148
BRCAS793,ENSSG969523292
HLA7O1,ENSSG212669937
BRCAD5IB,ENSSG594627260
GATASYP2,ENSSG837130185
FGFR074A1,ENSSG546999066
AKTHUP3,ENSSG892016306
HBBIZ13,ENSSG876165878
SOXF9B,ENSSG510371925
MYCNA3L,ENSSG118997440
MYC9H5P2,ENSSG100430980
CDKIQ6L,ENSSG684407124
MYCZYS3,ENSSG425289242
AKTJL8L,ENSSG826452306
LINCCV1,ENSSG539908408
JAKYM3P1,ENSSG444232149
SOX0XZP2,ENSSG390329290
MYCR93,ENSSG768573305
HLAX2B,ENSSG406303709
EGFR5E53,ENSSG729949290
FGFRLK1B,ENSSG724553643
STAT5SC,ENSSG882458615
TPJVC,ENSSG933920545
MYCK91,ENSSG988907954
JAKW8L,ENSSG511258000
TPTRC,ENSSG744978623
SOXQBP2,ENSSG726524715
STAT2AVL,ENSSG777368549
BRCAGNHL,ENSSG815603545
TPXQB,ENSSG166719747
EGFR9GP1,ENSSG204486389
FGFRX2ZA1,ENSSG143796182
JAKNEAP1,ENSSG461713509
MYCX1SA1,ENSSG515552611
CDKPLP2,ENSSG993887404
MYCGQC,ENSSG430438721
FGFRON0A1,ENSSG101716492
STATP5PC,ENSSG547107824
GATAMJ1,ENSSG927967939
EGFRFYP2,ENSSG498426958
MAPKAKTC,ENSSG896328090
LINCY2L,ENSSG628007459
AKTTOL,ENSSG886628188
MAPKWQA1,ENSSG588438528
HLAM7B,ENSSG671961479
CDKIMA1,ENSSG542384959
MYCYAB,ENSSG103041746
CDKAPP2,ENSSG171614010
